,Disvoice,,Disvoice + Edad y Sexo,,Disvoice + Edad  - Mujeres,,Disvoice  + Edad  - Hombres,,VGGish Embeddings,,VGGish MFCC-Espectros,,
,Dataset,Auc,Dataset,Auc,Dataset,Auc,Dataset,Auc,Dataset,Auc,Dataset,Auc,
Ex - Atribs Defecto,ADA\fon_rt,"0,836",ADA\fon_rt,"0,836",ADA\art_w_campana,"0,883",ADA\art_w_campana_ON,"0,813",MLP\vocal_A,"0,822",MLP\vocal_A,"0,843",
Ex - Atribs Norm,ADA\fon_rt,"0,836",ADA\fon_rt,"0,836",GBC\art_w_campana,"0,894",ADA\art_w_campana_ON,"0,813",MLP\read_text,"0,888",MLP\vocal_A,"0,829",
GS - Orozco (SVM),fon_v_U,"0,744",fon_v_U,"0,721",fon_w_gato,"0,725",fon_v_I,"0,769",read_text,"0,876",vocal_A,"0,861",
GS PCA - SVM,fon_v_U,"0,768",-,-,-,-,-,-,-,-,-,-,
GS - VT + AdaBoost,fon_rt,"0,832",fon_rt,"0,86",art_rt,"0,905",art_w_campana_ON,"0,838",vocal_A,"0,772",vocal_A,"0,818",
VT - varios,ADA\fon_rt,"0,884",ADA\fon_rt,"0,884",ADA\art_w_campana,"0,883",ADA\art_w_campana_ON,"0,813",MLP\read_text,"0,832",GBC\vocal_A,"0,831",
Kbest - varios,RF\fon_w_gato,"0,78",SVM\fon_v_u,"0,759",GBC\art_w_gato,"0,816",GBC\art_w_gato_ON,"0,838",MLP\read_text,"0,76",MLP\vocal_A,"0,761",
GS - Kbest - Ada,fon_rt,"0,744",-,-,art_w_campana,"0,908",art_w_campana_ON,"0,816",vocal_A,"0,765",vocal_A,"0,788",
GS - Kbest - RF,-,-,art_rt,"0,748",fon_v_A,"0,82",art_w_braso,"0,816",read_text,"0,798",vocal_A,"0,842",
GS - Kbest - GBC,-,-,-,-,art_w_campana,"0,88",art_w_atleta_OF,"0,867",vocal_A,"0,804",vocal_A,"0,805",
GS - Kbest - MLP,-,-,-,-,-,-,-,-,read_text,"0,856",vocal_A,"0,768",
Media de todos,,"0,8030",,"0,8062",,"0,8571",,"0,8203",,"0,8173",,"0,8146",
