Dataset,KNN,Tree,MLP10,RF,SVM,Bayes,GBC,Ada
art_rt,0.732,0.56,0.712,0.792,0.744,0.768,0.732,0.7280000000000001
art_w_atleta,0.6519999999999999,0.48200000000000004,0.6799999999999999,0.6199999999999999,0.6439999999999999,0.7040000000000001,0.732,0.6
art_w_braso,0.534,0.534,0.532,0.5800000000000001,0.652,0.6920000000000001,0.6440000000000001,0.54
art_w_campana,0.618,0.5,0.688,0.6579999999999999,0.6799999999999999,0.674,0.6839999999999999,0.7020000000000001
art_w_gato,0.6460000000000001,0.5800000000000001,0.5920000000000001,0.66,0.68,0.6699999999999999,0.692,0.6360000000000001
art_w_petaka,0.568,0.55,0.6399999999999999,0.584,0.692,0.68,0.672,0.688
fon_rt,0.588,0.5199999999999999,0.5280000000000001,0.562,0.6120000000000001,0.5480000000000002,0.6719999999999999,0.718
fon_v_A,0.691111111111111,0.55,0.7382222222222223,0.708,0.7213333333333334,0.7082222222222222,0.6857777777777778,0.6708888888888889
fon_v_E,0.6604444444444445,0.6066666666666667,0.7688888888888888,0.7346666666666666,0.7511111111111111,0.7226666666666668,0.6440000000000001,0.6911111111111111
fon_v_I,0.6386666666666667,0.5900000000000001,0.7546666666666667,0.7022222222222222,0.7235555555555555,0.7388888888888889,0.6684444444444445,0.6597777777777778
fon_v_O,0.6831111111111111,0.5466666666666666,0.6982222222222222,0.6728888888888889,0.6991111111111111,0.6742222222222223,0.6502222222222223,0.6026666666666667
fon_v_U,0.7235555555555555,0.6266666666666667,0.764,0.7324444444444443,0.7484444444444446,0.7731111111111112,0.7475555555555556,0.7188888888888888
fon_w_atleta,0.5945,0.51,0.5930000000000001,0.6140000000000001,0.5970000000000001,0.642,0.666,0.49400000000000005
fon_w_braso,0.5860000000000001,0.5125,0.6180000000000001,0.584,0.51575,0.48075,0.6152500000000001,0.5855
fon_w_campana,0.7460000000000001,0.66,0.6559999999999999,0.636,0.748,0.592,0.724,0.6519999999999999
fon_w_gato,0.7458333333333333,0.6083333333333333,0.7958333333333332,0.7562499999999999,0.75625,0.6958333333333334,0.71875,0.6458333333333333
fon_w_petaka,0.40700000000000003,0.485,0.4327500000000001,0.45625,0.48450000000000004,0.4665,0.47850000000000004,0.3995
prs_rt,0.5940000000000001,0.53,0.5920000000000001,0.6880000000000001,0.72,0.6880000000000001,0.592,0.6
vggish_embed_rt,0.8400000000000002,0.49000000000000005,0.8,0.742,0.768,0.6599999999999999,0.792,0.632
vggish_embed_v_A,0.7503979591836736,0.5497619047619047,0.7842426303854875,0.7501927437641724,0.7461587301587302,0.7170918367346939,0.8316122448979593,0.7358049886621314
vggish_embed_v_E,0.6606791383219954,0.5635714285714285,0.7303718820861678,0.6842063492063492,0.6177233560090702,0.6667346938775511,0.7004013605442176,0.7088219954648526
vggish_embed_v_I,0.6703610675039247,0.5008608058608057,0.709587912087912,0.6462794348508634,0.6820120355834642,0.6521781789638933,0.6838226059654632,0.6122043432757719
vggish_embed_v_O,0.5314877430262045,0.5850274725274726,0.599351930121161,0.5828684136376444,0.6495350803043112,0.582065370526909,0.6283953226260918,0.6319174415328263
vggish_embed_v_U,0.6553747534516765,0.5910256410256409,0.6101577909270218,0.5951676528599605,0.5670611439842208,0.5708826429980276,0.6789447731755425,0.6649408284023669
